id,text,y
0,来扰乱天子的边防,0
1,崤山以东地区虽然混乱,0
2,秦昭王闻之 使人遗赵王书 愿以十五城请易璧,1
3,臣不胜受恩感激,1
4,现在如果把东西寄存在别人处,0
5,南北朝所以不治 文采胜质厚也,1
6,而流贼进攻更急 城里有许多不同的意见,0
7,吾上有三兄 皆不幸早世,1
8,没有人不讲究熏衣剃面,0
9,王曰 善,1
10,谷与鱼鳖不可胜食 材木不可胜用 是使民养生丧死无憾也,1
11,逸乐名利者如秋茶 岂得同年而语矣,1
12,盖一岁之犯死者二焉 其余 则熙熙而乐,1
13,长一丈 上作短墙 高二尺 泥之,1
14,是非二百四十二年之中,1
15,及密败 复入东都 王世充给其廪食,1
16,诸儒设难蜂起 随方占对 皆莫能屈,1
17,使前泾阳女当席拜毅以致谢,1
18,怎么能把地方治理好呢,0
19,虽未读书 吾亦谓之学矣,1
20,相如持其璧睨柱 欲以击柱,1
21,为坛而盟 祭以尉首,1
22,武夫则练习骑马射箭 文士则研究议论经书,0
23,如此良夜何 客曰,1
24,看上去真好似神仙一般 到明经义求取及第时,0
25,而彭祖乃今以久特闻 众人匹之,1
26,屠户才明白之前的狼假装睡觉 原来是用来诱惑敌人,0
27,稽康因欺物不得善终,0
28,婚姻要找贫寒人家 这是当年祖宗靖侯的老规矩,0
29,予亦悄然而悲 肃然而 恐 凛乎其不可留也,1
30,皆刑其长吏 杀之以应陈涉,1
31,宣徽使潘美 王仁赡并坐夺奉一季,1
32,魏晋五言古诗却作得不怎么样 格律切当,0
33,现在还用残酷的刑法对待 这样百姓才狠下心来抛弃父母妻儿,0
34,夫所以读书学问 本欲开心明目 利於行耳,1
35,曹刿说 当权的人目光短浅 不能深谋远虑,0
36,顾野有麦场 场主积薪其中 苫蔽成丘,1
37,隳名城 杀豪杰 收天下之兵,1
38,秦王与群臣相视而嘻,1
39,某素以操真为志尚,1
40,擅美于诗 当复千家,1
41,泾州野如赭 人且饥死,1
42,南北朝时国家治理不好的原因 就是士人文采的华美,0
43,像邺水赞咏莲花 这里诗人的文采 胜过临川内史谢灵运,0
44,赵王于是就派遣蔺相如带好和氏璧 西行入秦,0
45,仅仅得到中等的辅佐之臣,0
46,抱着得过且过的心理,0
47,此始华好 用久则晦 不治饰 何由复新,1
48,咄 田总督早有命令,0
49,枉抑憔悴 诚有不平之志,1
