id,target
0,0.04546
1,0.12683
2,0.03851
3,0.07139
4,0.01991
5,0.07444
6,0.06583
8,0.02560
10,0.00798
11,0.03553
12,0.01085
14,0.10851
15,0.03633
18,0.13757
21,0.08930
23,0.11464
24,0.00657
25,0.07761
27,0.05977
29,0.03064
30,0.05383
31,0.03485
32,0.01092
33,0.07024
37,0.03510
38,0.03238
39,0.09326
40,0.01867
41,0.09400
42,0.04100
44,0.08549
45,0.02182
47,0.11912
49,0.03311
51,0.01726
52,0.10603
53,0.11330
54,0.03000
55,0.05376
56,0.08561
57,0.07014
59,0.02012
60,0.03797
62,0.05848
63,0.05264
67,0.13563
68,0.07335
69,0.04509
70,0.10534
71,0.16664
73,0.11081
75,0.17442
76,0.00748
81,0.05025
82,0.03311
83,0.00758
86,0.03804
87,0.05113
88,0.01803
91,0.04039
92,0.03460
94,0.08957
97,0.05685
100,0.06021
102,0.11385
103,0.11895
105,0.03535
106,0.10177
108,0.10740
113,0.01253
114,0.18799
115,0.00997
118,0.00575
122,0.16006
124,0.02662
126,0.11354
128,0.21295
129,0.00997
130,0.00405
131,0.01725
132,0.01720
133,0.00781
134,0.01579
135,0.03898
136,0.21406
139,0.06726
140,0.04687
141,0.10863
146,0.05101
148,0.03969
151,0.00723
152,0.07190
154,0.01550
157,0.03173
158,0.12476
159,0.20248
161,0.09597
164,0.01610
165,0.13021
167,0.07732
168,0.12168
169,0.00920
171,0.03205
172,0.00914
173,0.01143
174,0.02880
175,0.04017
176,0.04116
178,0.01844
179,0.00689
180,0.06655
181,0.02522
182,0.10657
183,0.01312
184,0.12998
185,0.26831
187,0.00851
188,0.02758
190,0.10701
191,0.04136
192,0.09207
195,0.05262
196,0.04507
198,0.13640
201,0.04588
202,0.01158
203,0.05497
204,0.06947
207,0.02432
213,0.00814
219,0.08868
220,0.09072
222,0.01411
226,0.00741
228,0.05057
230,0.03029
231,0.02751
232,0.05178
233,0.08954
234,0.05777
236,0.05205
237,0.02152
238,0.07411
240,0.12961
241,0.12356
242,0.06400
243,0.02979
245,0.03714
246,0.16462
247,0.12440
249,0.13641
250,0.11015
251,0.06884
252,0.01319
253,0.01133
254,0.01232
255,0.02276
256,0.06647
257,0.02652
258,0.04308
259,0.06218
260,0.01931
262,0.01213
