id,target
0,0.02797
1,0.04323
2,0.02936
3,0.02960
4,0.02270
5,0.02731
6,0.04612
8,0.02197
10,0.06249
11,0.03233
12,0.03324
14,0.02470
15,0.03804
18,0.04031
21,0.03827
23,0.04120
24,0.03883
25,0.04409
27,0.05406
29,0.04798
30,0.03920
31,0.04076
32,0.04487
33,0.03890
37,0.02895
38,0.03572
39,0.05880
40,0.03358
41,0.03900
42,0.03425
44,0.03184
45,0.04262
47,0.03657
49,0.02565
51,0.03485
52,0.03112
53,0.03696
54,0.08788
55,0.02471
56,0.04342
57,0.05925
59,0.04291
60,0.04165
62,0.02909
63,0.07987
67,0.05019
68,0.01960
69,0.06187
70,0.03189
71,0.04959
73,0.05272
75,0.03785
76,0.02728
81,0.02580
82,0.03457
83,0.02687
86,0.03506
87,0.04097
88,0.05280
91,0.04310
92,0.03581
94,0.02692
97,0.03042
100,0.03584
102,0.03549
103,0.03443
105,0.03413
106,0.03091
108,0.03285
113,0.06440
114,0.05428
115,0.04137
118,0.05786
122,0.02493
124,0.04629
126,0.02587
128,0.03595
129,0.05840
130,0.06137
131,0.05261
132,0.05528
133,0.02093
134,0.06142
135,0.05069
136,0.02546
139,0.03548
140,0.03293
141,0.04010
146,0.02446
148,0.04511
151,0.02284
152,0.05315
154,0.02712
157,0.03630
158,0.02378
159,0.05149
161,0.03583
164,0.05438
165,0.05212
167,0.02941
168,0.04052
169,0.03409
171,0.02614
172,0.05991
173,0.03315
174,0.03699
175,0.05039
176,0.05173
178,0.03464
179,0.02906
180,0.02368
181,0.02468
182,0.03757
183,0.05698
184,0.04997
185,0.04421
187,0.02322
188,0.03372
190,0.02876
191,0.03337
192,0.06215
195,0.03637
196,0.03518
198,0.04559
201,0.02920
202,0.02186
203,0.02621
204,0.02769
207,0.03412
213,0.05265
219,0.02647
220,0.04136
222,0.04803
226,0.03500
228,0.06026
230,0.04259
231,0.02604
232,0.03848
233,0.04834
234,0.02422
236,0.04520
237,0.03839
238,0.04193
240,0.03251
